,PassengerId,Survived
0,892,0
1,893,1
2,894,0
3,895,0
4,896,0
5,897,0
6,898,0
7,899,0
8,900,1
9,901,0
10,902,0
11,903,0
12,904,1
13,905,0
14,906,1
15,907,1
16,908,0
17,909,0
18,910,0
19,911,0
20,912,0
21,913,1
22,914,1
23,915,1
24,916,1
25,917,0
26,918,1
27,919,0
28,920,0
29,921,0
30,922,0
31,923,0
32,924,0
33,925,0
34,926,1
35,927,0
36,928,0
37,929,0
38,930,0
39,931,0
40,932,0
41,933,0
42,934,0
43,935,1
44,936,1
45,937,0
46,938,0
47,939,0
48,940,1
49,941,0
50,942,1
51,943,0
52,944,1
53,945,1
54,946,0
55,947,0
56,948,0
57,949,0
58,950,0
59,951,1
60,952,0
61,953,0
62,954,0
63,955,0
64,956,0
65,957,1
66,958,0
67,959,0
68,960,1
69,961,1
70,962,0
71,963,0
72,964,0
73,965,1
74,966,1
75,967,1
76,968,0
77,969,1
78,970,0
79,971,0
80,972,1
81,973,0
82,974,0
83,975,0
84,976,0
85,977,0
86,978,1
87,979,0
88,980,0
89,981,1
90,982,0
91,983,0
92,984,1
93,985,0
94,986,0
95,987,0
96,988,1
97,989,0
98,990,0
99,991,0
100,992,1
101,993,0
102,994,0
103,995,0
104,996,0
105,997,0
106,998,0
107,999,0
108,1000,0
109,1001,0
110,1002,0
111,1003,0
112,1004,1
113,1005,1
114,1006,1
115,1007,0
116,1008,0
117,1009,1
118,1010,1
119,1011,1
120,1012,1
121,1013,0
122,1014,1
123,1015,0
124,1016,0
125,1017,1
126,1018,0
127,1019,1
128,1020,0
129,1021,0
130,1022,0
131,1023,0
132,1024,0
133,1025,0
134,1026,0
135,1027,0
136,1028,0
137,1029,0
138,1030,0
139,1031,0
140,1032,0
141,1033,1
142,1034,0
143,1035,0
144,1036,0
145,1037,0
146,1038,0
147,1039,0
148,1040,0
149,1041,0
150,1042,1
151,1043,0
152,1045,0
153,1046,0
154,1047,0
155,1048,1
156,1049,0
157,1050,0
158,1051,0
159,1052,0
160,1053,1
161,1054,1
162,1055,0
163,1056,0
164,1057,1
165,1058,0
166,1059,0
167,1060,1
168,1061,0
169,1062,0
170,1063,0
171,1064,0
172,1065,0
173,1066,0
174,1067,1
175,1068,1
176,1069,0
177,1070,1
178,1071,1
179,1072,0
180,1073,1
181,1074,1
182,1075,0
183,1076,1
184,1077,0
185,1078,1
186,1079,0
187,1080,0
188,1081,0
189,1082,0
190,1083,0
191,1084,0
192,1085,0
193,1086,1
194,1087,0
195,1088,1
196,1089,0
197,1090,0
198,1091,0
199,1092,1
200,1093,1
201,1094,0
202,1095,1
203,1096,0
204,1097,0
205,1098,0
206,1099,0
207,1100,1
208,1101,0
209,1102,0
210,1103,0
211,1104,0
212,1105,1
213,1106,1
214,1107,0
215,1108,0
216,1109,0
217,1110,1
218,1111,0
219,1112,1
220,1113,0
221,1114,1
222,1115,0
223,1116,1
224,1117,0
225,1118,0
226,1119,0
227,1120,0
228,1121,0
229,1122,0
230,1123,1
231,1124,0
232,1125,0
233,1126,0
234,1127,0
235,1128,0
236,1129,0
237,1130,1
238,1131,1
239,1132,1
240,1133,1
241,1134,0
242,1135,0
243,1136,0
244,1137,0
245,1138,1
246,1139,0
247,1140,1
248,1141,0
249,1142,1
250,1143,0
251,1144,1
252,1145,0
253,1146,0
254,1147,0
255,1148,0
256,1149,0
257,1150,1
258,1151,0
259,1152,0
260,1153,0
261,1154,1
262,1155,1
263,1156,0
264,1157,0
265,1158,0
266,1159,0
267,1160,0
268,1161,0
269,1162,0
270,1163,0
271,1164,1
272,1165,1
273,1166,0
274,1167,1
275,1168,0
276,1169,0
277,1170,0
278,1171,0
279,1172,0
280,1173,1
281,1174,0
282,1175,1
283,1176,1
284,1177,0
285,1178,0
286,1179,1
287,1180,0
288,1181,0
289,1182,0
290,1183,0
291,1184,0
292,1185,0
293,1186,0
294,1187,0
295,1188,1
296,1189,0
297,1190,0
298,1191,0
299,1192,0
300,1193,0
301,1194,0
302,1195,0
303,1196,0
304,1197,1
305,1198,1
306,1199,1
307,1200,0
308,1201,0
309,1202,0
310,1203,0
311,1204,0
312,1205,0
313,1206,1
314,1207,0
315,1208,0
316,1209,0
317,1210,0
318,1211,0
319,1212,0
320,1213,0
321,1214,0
322,1215,1
323,1216,1
324,1217,0
325,1218,1
326,1219,0
327,1220,0
328,1221,0
329,1222,1
330,1223,0
331,1224,0
332,1225,1
333,1226,0
334,1227,0
335,1228,0
336,1229,0
337,1230,0
338,1231,0
339,1232,0
340,1233,0
341,1234,0
342,1235,1
343,1236,0
344,1237,0
345,1238,0
346,1239,1
347,1240,0
348,1241,1
349,1242,1
350,1243,0
351,1244,0
352,1245,0
353,1246,1
354,1247,0
355,1248,1
356,1249,0
357,1250,0
358,1251,1
359,1252,0
360,1253,1
361,1254,1
362,1255,0
363,1256,1
364,1257,0
365,1258,0
366,1259,0
367,1260,1
368,1261,0
369,1262,0
370,1263,1
371,1264,0
372,1265,0
373,1266,1
374,1267,1
375,1268,0
376,1269,0
377,1270,0
378,1271,0
379,1272,0
380,1273,0
381,1274,0
382,1275,1
383,1276,0
384,1277,1
385,1278,0
386,1279,0
387,1280,0
388,1281,0
389,1282,1
390,1283,1
391,1284,0
392,1285,0
393,1286,0
394,1287,1
395,1288,0
396,1289,1
397,1290,0
398,1291,0
399,1292,1
400,1293,0
401,1294,1
402,1295,0
403,1296,0
404,1297,0
405,1298,0
406,1299,0
407,1300,0
408,1301,1
409,1302,0
410,1303,1
411,1304,0
412,1305,0
413,1306,1
414,1307,0
415,1308,0
416,1309,0
