Type_1,Type_2,Type_3,image_name
0.16366036236286163,0.5316447615623474,0.30469492077827454,0.jpg
0.162944033741951,0.5305423736572266,0.30651363730430603,1.jpg
0.16371099650859833,0.5301772952079773,0.3061116933822632,10.jpg
0.16298121213912964,0.5308607220649719,0.3061580955982208,100.jpg
0.16358564794063568,0.5293623805046082,0.30705198645591736,101.jpg
0.16223841905593872,0.5304763913154602,0.3072851896286011,102.jpg
0.16305483877658844,0.5300853848457336,0.30685973167419434,103.jpg
0.16352535784244537,0.5303106307983398,0.3061639964580536,104.jpg
0.16323351860046387,0.5294022560119629,0.30736425518989563,105.jpg
0.16293250024318695,0.5307697653770447,0.30629774928092957,106.jpg
0.16331838071346283,0.5312179923057556,0.30546361207962036,107.jpg
0.16358280181884766,0.5297815203666687,0.30663564801216125,108.jpg
0.16365192830562592,0.5287935733795166,0.30755457282066345,109.jpg
0.16285376250743866,0.5309257507324219,0.30622053146362305,11.jpg
0.16303539276123047,0.5299346446990967,0.30702996253967285,110.jpg
0.16326063871383667,0.5298001170158386,0.3069392740726471,111.jpg
0.16361738741397858,0.5299144387245178,0.3064681589603424,112.jpg
0.1641911268234253,0.5307133197784424,0.3050955533981323,113.jpg
0.163519024848938,0.5307677984237671,0.3057132065296173,114.jpg
0.16372698545455933,0.5296149849891663,0.3066580295562744,116.jpg
0.16403275728225708,0.5306534171104431,0.30531391501426697,117.jpg
0.16314487159252167,0.5294373035430908,0.30741778016090393,118.jpg
0.1629006415605545,0.5291282534599304,0.30797111988067627,119.jpg
0.16337478160858154,0.530210018157959,0.3064152002334595,12.jpg
0.16318772733211517,0.5304455757141113,0.3063667118549347,120.jpg
0.1624394655227661,0.5307413935661316,0.30681920051574707,121.jpg
0.1629859060049057,0.5299304127693176,0.30708369612693787,122.jpg
0.16383326053619385,0.5306246876716614,0.30554208159446716,123.jpg
0.1636938601732254,0.5302489399909973,0.3060571849346161,124.jpg
0.1633300930261612,0.5307119488716125,0.3059579133987427,125.jpg
0.1639978438615799,0.5298675894737244,0.30613455176353455,126.jpg
0.1636122614145279,0.5304992198944092,0.3058885633945465,127.jpg
